Site,Business Date,Time,SOS: Order Created to Served,Qty of Sold Items,Gross Sales,Gross Sales: Walk Up - Tips Test,Gross Sales: Lane 3  - Tips Test,Gross Sales: LANE 2 - Tips Test,Gross Sales: LANE 1 - Tips Test,Gross Sales: Lane 1 - Test,Transaction Count,Guest Count,Guest Avg
"000087 - Big Spring, TX - 1",2025-12-29,05:00AM - 06:00AM,238.8,18,$96.90,$0.00,$0.00,$0.00,$0.00,$0.00,10,10,$9.69
"000087 - Big Spring, TX - 1",2025-12-29,06:00AM - 07:00AM,223.1,22,$150.40,$0.00,$0.00,$0.00,$0.00,$0.00,19,19,$7.92
"000087 - Big Spring, TX - 1",2025-12-29,07:00AM - 08:00AM,208.6,36,$212.50,$0.00,$0.00,$0.00,$0.00,$0.00,29,29,$7.33
"000087 - Big Spring, TX - 1",2025-12-29,08:00AM - 09:00AM,208.6,50,$295.70,$0.00,$0.00,$0.00,$0.00,$0.00,31,31,$9.54
"000087 - Big Spring, TX - 1",2025-12-29,09:00AM - 10:00AM,237.8,80,$443.85,$0.00,$0.00,$0.00,$0.00,$0.00,45,45,$9.86
"000087 - Big Spring, TX - 1",2025-12-29,10:00AM - 11:00AM,280.6,71,$379.95,$0.00,$0.00,$0.00,$0.00,$0.00,33,33,$11.51
"000087 - Big Spring, TX - 1",2025-12-29,11:00AM - 12:00PM,321.3,76,$405.55,$0.00,$0.00,$0.00,$0.00,$0.00,32,32,$12.67
"000087 - Big Spring, TX - 1",2025-12-29,12:00PM - 01:00PM,234.4,47,$269.65,$0.00,$0.00,$0.00,$0.00,$0.00,27,27,$9.99
"000087 - Big Spring, TX - 1",2025-12-29,01:00PM - 02:00PM,172.9,48,$275.45,$0.00,$0.00,$0.00,$0.00,$0.00,31,31,$8.89
"000087 - Big Spring, TX - 1",2025-12-29,02:00PM - 03:00PM,339.8,72,$424.80,$0.00,$0.00,$0.00,$0.00,$0.00,40,40,$10.62
"000087 - Big Spring, TX - 1",2025-12-29,03:00PM - 04:00PM,308.7,73,$408.40,$0.00,$0.00,$0.00,$0.00,$0.00,40,40,$10.21
"000087 - Big Spring, TX - 1",2025-12-29,04:00PM - 05:00PM,222.1,61,$342.35,$0.00,$0.00,$0.00,$0.00,$0.00,33,33,$10.37
"000087 - Big Spring, TX - 1",2025-12-29,05:00PM - 06:00PM,499.4,51,$295.45,$0.00,$0.00,$0.00,$0.00,$0.00,28,28,$10.55
"000087 - Big Spring, TX - 1",2025-12-29,06:00PM - 07:00PM,278.0,35,$204.95,$0.00,$0.00,$0.00,$0.00,$0.00,18,18,$11.39
"000087 - Big Spring, TX - 1",2025-12-29,07:00PM - 08:00PM,259.4,31,$170.85,$0.00,$0.00,$0.00,$0.00,$0.00,16,16,$10.68
"000087 - Big Spring, TX - 1",2025-12-29,08:00PM - 09:00PM,271.0,13,$71.50,$0.00,$0.00,$0.00,$0.00,$0.00,9,9,$7.94
"000087 - Big Spring, TX - 1",2025-12-29,09:00PM - 10:00PM,217.0,20,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,8,8,$12.50
"000087 - Big Spring, TX - 1",2025-12-30,05:00AM - 06:00AM,190.4,15,$81.15,$0.00,$0.00,$0.00,$0.00,$0.00,10,10,$8.12
"000087 - Big Spring, TX - 1",2025-12-30,06:00AM - 07:00AM,162.9,25,$148.00,$0.00,$0.00,$0.00,$0.00,$0.00,18,18,$8.22
"000087 - Big Spring, TX - 1",2025-12-30,07:00AM - 08:00AM,192.5,52,$308.55,$0.00,$0.00,$0.00,$0.00,$0.00,32,32,$9.64
"000087 - Big Spring, TX - 1",2025-12-30,08:00AM - 09:00AM,182.4,63,$357.70,$0.00,$0.00,$0.00,$0.00,$0.00,43,43,$8.32
"000087 - Big Spring, TX - 1",2025-12-30,09:00AM - 10:00AM,186.4,43,$251.05,$0.00,$0.00,$0.00,$0.00,$0.00,25,25,$10.04
"000087 - Big Spring, TX - 1",2025-12-30,10:00AM - 11:00AM,188.6,73,$414.45,$0.00,$0.00,$0.00,$0.00,$0.00,36,36,$11.51
"000087 - Big Spring, TX - 1",2025-12-30,11:00AM - 12:00PM,213.0,69,$421.30,$0.00,$0.00,$0.00,$0.00,$0.00,47,47,$8.96
"000087 - Big Spring, TX - 1",2025-12-30,12:00PM - 01:00PM,148.3,54,$312.00,$0.00,$0.00,$0.00,$0.00,$0.00,30,30,$10.40
"000087 - Big Spring, TX - 1",2025-12-30,01:00PM - 02:00PM,198.7,51,$304.35,$0.00,$0.00,$0.00,$0.00,$0.00,32,32,$9.51
"000087 - Big Spring, TX - 1",2025-12-30,02:00PM - 03:00PM,233.1,65,$358.20,$0.00,$0.00,$0.00,$0.00,$0.00,39,39,$9.18
"000087 - Big Spring, TX - 1",2025-12-30,03:00PM - 04:00PM,229.0,47,$282.70,$0.00,$0.00,$0.00,$0.00,$0.00,30,30,$9.42
"000087 - Big Spring, TX - 1",2025-12-30,04:00PM - 05:00PM,179.4,55,$295.00,$0.00,$0.00,$0.00,$0.00,$0.00,34,34,$8.68
"000087 - Big Spring, TX - 1",2025-12-30,05:00PM - 06:00PM,163.6,40,$224.55,$0.00,$0.00,$0.00,$0.00,$0.00,22,22,$10.21
